english,canonical_arabic,category_or_context,source_stages,source_files,arabic_aliases,status,decision_note
Hugel,هويغل,مدينة || مدينة | مثبتة في المرحلة 11,11;31,تقارير_المراجعة_الحوارية/المرحلة_11/dialogue_stage11_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_31/dialogue_stage31_glossary.csv,,approved,Merged from stage glossaries.
Hunter,صياد,قاموس الوظائف داخل الحزمة,5,تقارير_المراجعة_الحوارية/المرحلة_05/dialogue_stage5_glossary.csv,,approved,Merged from stage glossaries.
Hwergelmir,هفيرغيلمير,البطل الأسطوري لسافا,25,تقارير_المراجعة_الحوارية/المرحلة_25/dialogue_stage25_glossary.csv,,approved,Merged from stage glossaries.
Ice Cave,كهف الجليد,الموقع الذي ختم فيه لومين,13,تقارير_المراجعة_الحوارية/المرحلة_13/dialogue_stage13_glossary.csv,,approved,Merged from stage glossaries.
Ice Cream,مثلجات,الصيغة الفصحى المستخدمة في الملاحة والمهام داخل الحزمة.,21,تقارير_المراجعة_الحوارية/المرحلة_21/dialogue_stage21_glossary.csv,,approved,Merged from stage glossaries.
Ice-Cream Maker,صانع مثلجات,اسم عرض مختصر ومتوافق مع حد 23 بايتا.,21,تقارير_المراجعة_الحوارية/المرحلة_21/dialogue_stage21_glossary.csv,,approved,Merged from stage glossaries.
Iceporing,آيس بورينغ,وحش جليدي,23,تقارير_المراجعة_الحوارية/المرحلة_23/dialogue_stage23_glossary.csv,,approved,Merged from stage glossaries.
Iron Cain,واقي فك حديدي,itemInfo,2,تقارير_المراجعة_الحوارية/المرحلة_02/dialogue_stage2_glossary.csv,,approved,Merged from stage glossaries.
Iron Ore,خام الحديد,عنصر,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Ishida Saoko,إيشيدا ساوكو,والدة الحاكم,29,تقارير_المراجعة_الحوارية/المرحلة_29/dialogue_stage29_glossary.csv,,approved,Merged from stage glossaries.
Ishida Yoshinaga,إيشيدا يوشيناغا,سيد أماتسو,29,تقارير_المراجعة_الحوارية/المرحلة_29/dialogue_stage29_glossary.csv,,approved,Merged from stage glossaries.
Izlude,إزلود,مدينة | الإبقاء على الاسم القياسي للحزمة,1,تقارير_المراجعة_الحوارية/المرحلة_01/dialogue_stage1_glossary.csv,,approved,Merged from stage glossaries.
Izlude Marina,مرسى إزلود,السياق الملاحي,3,تقارير_المراجعة_الحوارية/المرحلة_03/dialogue_stage3_glossary.csv,,approved,Merged from stage glossaries.
Jawaii,جاواي,,24,تقارير_المراجعة_الحوارية/المرحلة_24/dialogue_stage24_glossary.csv,,approved,Merged from stage glossaries.
Jellopy,جيلوبي,System/LuaFiles514/itemInfo.lua، المعرّف 909 || عنصر,3;9,تقارير_المراجعة_الحوارية/المرحلة_03/dialogue_stage3_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_09/dialogue_stage9_glossary.csv,,approved,Merged from stage glossaries.
Ji Chung Zhe,جي تشونغ تشه,صانع الشاي,18,تقارير_المراجعة_الحوارية/المرحلة_18/dialogue_stage18_glossary.csv,,approved,Merged from stage glossaries.
Jotunheim,يوتنهايم,منطقة العالم الجديد,25,تقارير_المراجعة_الحوارية/المرحلة_25/dialogue_stage25_glossary.csv,,approved,Merged from stage glossaries.
Jubilee,يوبيل,عنصر,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Jungle Cable,تلفريك الغابة,مطابق لملف tipbox_EN.lub.,21,تقارير_المراجعة_الحوارية/المرحلة_21/dialogue_stage21_glossary.csv,,approved,Merged from stage glossaries.
Juno,يونو,المدينة,8,تقارير_المراجعة_الحوارية/المرحلة_08/dialogue_stage8_glossary.csv,,approved,Merged from stage glossaries.
Juperos,جوبيروس,الحضارة والأطلال,8,تقارير_المراجعة_الحوارية/المرحلة_08/dialogue_stage8_glossary.csv,,approved,Merged from stage glossaries.
Kafra Corporation,شركة كافرا,منظمة,7,تقارير_المراجعة_الحوارية/المرحلة_07/dialogue_stage7_glossary.csv,,approved,Merged from stage glossaries.
Kafra Headquarters,المقر الرئيسي لشركة كافرا,سياق المدينة وملفات كافرا,6,تقارير_المراجعة_الحوارية/المرحلة_06/dialogue_stage6_glossary.csv,,approved,Merged from stage glossaries.
Kafra Ladies,موظفات كافرا,المصطلح المعتمد في حوارات الحزمة,5,تقارير_المراجعة_الحوارية/المرحلة_05/dialogue_stage5_glossary.csv,,approved,Merged from stage glossaries.
Kafra Pass,تصريح كافرا,سياق الاسترداد داخل مقر كافرا,6,تقارير_المراجعة_الحوارية/المرحلة_06/dialogue_stage6_glossary.csv,,approved,Merged from stage glossaries.
Karkatan,كاركاتان,زعيم ووتان ومعلم اللغة.,28,تقارير_المراجعة_الحوارية/المرحلة_28/dialogue_stage28_glossary.csv,,approved,Merged from stage glossaries.
Katar Mastery,إتقان الكاتار,skillinfolist.lub، SKID.AS_KATAR,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Kayplas,كايبلاس,شخصية,11,تقارير_المراجعة_الحوارية/المرحلة_11/dialogue_stage11_glossary.csv,,approved,Merged from stage glossaries.
Kazien,كازيين,موظف ريكنبر,34,تقارير_المراجعة_الحوارية/المرحلة_34/dialogue_stage34_glossary.csv,,approved,Merged from stage glossaries.
King Tristram III,الملك تريسترام الثالث,المراحل السابقة,5,تقارير_المراجعة_الحوارية/المرحلة_05/dialogue_stage5_glossary.csv,,approved,Merged from stage glossaries.
Kirkena,كيركينا,اسم الساحرة وشخصية النقل إلى أومبالا,27,تقارير_المراجعة_الحوارية/المرحلة_27/dialogue_stage27_glossary.csv,,approved,Merged from stage glossaries.
Klaatu / Verata / Nictu,كلااتو / فيراتا / نيكتو,مطابق لتسلسل مهمة الختم داخل الحزمة,16,تقارير_المراجعة_الحوارية/المرحلة_16/dialogue_stage16_glossary.csv,,approved,Merged from stage glossaries.
Kouji,كوجي,شخصية المهمة,29,تقارير_المراجعة_الحوارية/المرحلة_29/dialogue_stage29_glossary.csv,,approved,Merged from stage glossaries.
Ktullanux,كتولانوكس,الوحش الجليدي الحارس,13,تقارير_المراجعة_الحوارية/المرحلة_13/dialogue_stage13_glossary.csv,,approved,Merged from stage glossaries.
Kunlun,كونلون,الاسم المستخدم داخل الحوارات الرسمية؛ اسم الخريطة غونريون,18,تقارير_المراجعة_الحوارية/المرحلة_18/dialogue_stage18_glossary.csv,,approved,Merged from stage glossaries.
Kunlun Dungeon,دهليز كونلون,اسم المنطقة في الحوار,18,تقارير_المراجعة_الحوارية/المرحلة_18/dialogue_stage18_glossary.csv,,approved,Merged from stage glossaries.
Kuzkahina,كوزكاهينا,صاحب المتجر في نيفلهايم,27,تقارير_المراجعة_الحوارية/المرحلة_27/dialogue_stage27_glossary.csv,,approved,Merged from stage glossaries.
Kwan,كوان,اسم شخصية,20,تقارير_المراجعة_الحوارية/المرحلة_20/dialogue_stage20_glossary.csv,,approved,Merged from stage glossaries.
Kyrie Eleison,كيري إليسون,مهارة | الاسم المعتمد في ملفات المهارات وحوار كنيسة برونتيرا,1,rathena-master/npc/cities/prontera.txt,,approved,Confirmed in review cycle 2 stage 1.
Laboratory Permit,تصريح دخول المختبر,وثيقة الدخول,12,تقارير_المراجعة_الحوارية/المرحلة_12/dialogue_stage12_glossary.csv,,approved,Merged from stage glossaries.
Lalitha,لاليثا,اسم شخصية مؤنثة,20,تقارير_المراجعة_الحوارية/المرحلة_20/dialogue_stage20_glossary.csv,,approved,Merged from stage glossaries.
Laphine,لافين,الشعب الجني في سبلينديد || اسم الشعب,25;26,تقارير_المراجعة_الحوارية/المرحلة_25/dialogue_stage25_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_26/dialogue_stage26_glossary.csv,,approved,Merged from stage glossaries.
Large Jellopy,جيلوبي كبير,عنصر,8;10,تقارير_المراجعة_الحوارية/المرحلة_08/dialogue_stage8_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Lava Golem,غولم الحمم,وحش,8,تقارير_المراجعة_الحوارية/المرحلة_08/dialogue_stage8_glossary.csv,,approved,Merged from stage glossaries.
Lighthalzen,لايت هالزن,اسم المدينة المعتمد في بقية الحزمة || اسم المدينة المعتمد في الحزمة,12;34,تقارير_المراجعة_الحوارية/المرحلة_12/dialogue_stage12_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_34/dialogue_stage34_glossary.csv,,approved,Merged from stage glossaries.
Lighthalzen Slums,الأحياء الفقيرة في لايت هالزن,منطقة المدينة الفقيرة,12,تقارير_المراجعة_الحوارية/المرحلة_12/dialogue_stage12_glossary.csv,,approved,Merged from stage glossaries.
Lisa,ليزا,شخصية,11,تقارير_المراجعة_الحوارية/المرحلة_11/dialogue_stage11_glossary.csv,,approved,Merged from stage glossaries.
Loki,لوكي,اسم الشخصية الأسطورية,26,تقارير_المراجعة_الحوارية/المرحلة_26/dialogue_stage26_glossary.csv,,approved,Merged from stage glossaries.
Loomin / Luwmin,لومين,الشقيق التوأم للبابا,13,تقارير_المراجعة_الحوارية/المرحلة_13/dialogue_stage13_glossary.csv,,approved,Merged from stage glossaries.
Lord of Death,سيد الموتى,المعتمد في قاعدة الوحوش والمهام,16,تقارير_المراجعة_الحوارية/المرحلة_16/dialogue_stage16_glossary.csv,,approved,Merged from stage glossaries.
Lord of the Dead,سيد الموتى,وحش زعيم,8,تقارير_المراجعة_الحوارية/المرحلة_08/dialogue_stage8_glossary.csv,,approved,Merged from stage glossaries.
Lord of Vermilion,سيد البرق القرمزي,skillinfolist,2,تقارير_المراجعة_الحوارية/المرحلة_02/dialogue_stage2_glossary.csv,,approved,Merged from stage glossaries.
Lottery Ticket,تذكرة يانصيب,تمنح مقابل التبرع,13,تقارير_المراجعة_الحوارية/المرحلة_13/dialogue_stage13_glossary.csv,,approved,Merged from stage glossaries.
Louyang,لويانغ,الصيغة الموحدة في جميع ملفات الحزمة,19,تقارير_المراجعة_الحوارية/المرحلة_19/dialogue_stage19_glossary.csv,,approved,Merged from stage glossaries.
Luda,لودا,شخصية,11,تقارير_المراجعة_الحوارية/المرحلة_11/dialogue_stage11_glossary.csv,,approved,Merged from stage glossaries.
Lutie,لوتي,ملفات الخرائط والملاحة || اسم المدينة,3;23,تقارير_المراجعة_الحوارية/المرحلة_03/dialogue_stage3_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_23/dialogue_stage23_glossary.csv,,approved,Merged from stage glossaries.
Lyozien,ليوزين,شقيق كازيين,34,تقارير_المراجعة_الحوارية/المرحلة_34/dialogue_stage34_glossary.csv,,approved,Merged from stage glossaries.
Magnifier,عدسة مكبرة,itemInfo وسياق تقييم المعدات,6,تقارير_المراجعة_الحوارية/المرحلة_06/dialogue_stage6_glossary.csv,,approved,Merged from stage glossaries.
Magnum Break,كسر ماغنوم,مهارة | الاسم المعتمد في ملفات المهارات وحوار إزلود,1,rathena-master/npc/cities/izlude.txt,,approved,Confirmed in review cycle 2 stage 1.
Maiden Palace,قصر العذارى,منظمة نسائية للفنون القتالية,19,تقارير_المراجعة_الحوارية/المرحلة_19/dialogue_stage19_glossary.csv,,approved,Merged from stage glossaries.
Manteau,عباءة,itemInfo,2,تقارير_المراجعة_الحوارية/المرحلة_02/dialogue_stage2_glossary.csv,,approved,Merged from stage glossaries.
Manuk,مانوك,اسم مدينة التعدين,25,تقارير_المراجعة_الحوارية/المرحلة_25/dialogue_stage25_glossary.csv,,approved,Merged from stage glossaries.
Manuk Coin,عملة مانوك,اسم عملة المنطقة,25,تقارير_المراجعة_الحوارية/المرحلة_25/dialogue_stage25_glossary.csv,,approved,Merged from stage glossaries.
Marcell,مارسيل,الفتاة,23,تقارير_المراجعة_الحوارية/المرحلة_23/dialogue_stage23_glossary.csv,,approved,Merged from stage glossaries.
Marine Sphere,كرة بحرية,اسم الوحش/المهارة المثبت في الحزمة,15,تقارير_المراجعة_الحوارية/المرحلة_15/dialogue_stage15_glossary.csv,,approved,Merged from stage glossaries.
Marius,ماريوس,شخصية,11,تقارير_المراجعة_الحوارية/المرحلة_11/dialogue_stage11_glossary.csv,,approved,Merged from stage glossaries.
Martial arts,الفنون القتالية,المصطلح الموحد,19,تقارير_المراجعة_الحوارية/المرحلة_19/dialogue_stage19_glossary.csv,,approved,Merged from stage glossaries.
Metalling,ميتالينغ,وحش,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Meteor Storm,عاصفة نيازك,skillinfolist,2,تقارير_المراجعة_الحوارية/المرحلة_02/dialogue_stage2_glossary.csv,,approved,Merged from stage glossaries.
Mine Dungeon,دهليز المنجم,مكان,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Mineral,مينيرال,وحش,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Mineta,مينيتا,جزيرة الازدهار,8,تقارير_المراجعة_الحوارية/المرحلة_08/dialogue_stage8_glossary.csv,,approved,Merged from stage glossaries.
Miss Amatsu,ملكة جمال أماتسو,اسم المسابقة,17,تقارير_المراجعة_الحوارية/المرحلة_17/dialogue_stage17_glossary.csv,,approved,Merged from stage glossaries.
Mjolnir Mountains,جبال ميولنير,ملفات الخرائط والملاحة,6,تقارير_المراجعة_الحوارية/المرحلة_06/dialogue_stage6_glossary.csv,,approved,Merged from stage glossaries.
Monster Research Organization,منظمة أبحاث الوحوش,المرجع الإنجليزي وسياق الباحث,5,تقارير_المراجعة_الحوارية/المرحلة_05/dialogue_stage5_glossary.csv,,approved,Merged from stage glossaries.
Morocc,موروك,ملفات الخرائط والملاحة والمراحل السابقة,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Moscovia,موسكوفيا,اسم المدينة,22,تقارير_المراجعة_الحوارية/المرحلة_22/dialogue_stage22_glossary.csv,,approved,Merged from stage glossaries.
Moscovia P.R. Officer,مندوب موسكوفيا,اسم العرض المختصر والمتسق,22,تقارير_المراجعة_الحوارية/المرحلة_22/dialogue_stage22_glossary.csv,,approved,Merged from stage glossaries.
Moscovia Palace,قصر موسكوفيا,المعلم الرئيسي,22,تقارير_المراجعة_الحوارية/المرحلة_22/dialogue_stage22_glossary.csv,,approved,Merged from stage glossaries.
Mr. Claus,السيد كلوز,مرشد السفر من ألديباران,23,تقارير_المراجعة_الحوارية/المرحلة_23/dialogue_stage23_glossary.csv,,approved,Merged from stage glossaries.
Mr. Smile,سيد ابتسامة,القناع المطلوب لإثبات احترام القبيلة.,28,تقارير_المراجعة_الحوارية/المرحلة_28/dialogue_stage28_glossary.csv,,approved,Merged from stage glossaries.
Muka,موكا,mob_db.yml، المعرّف 1055,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Niels,نيلز,توحيد اسم الشخصية داخل الملف,15,تقارير_المراجعة_الحوارية/المرحلة_15/dialogue_stage15_glossary.csv,,approved,Merged from stage glossaries.
Niflheim,نيفلهايم,الصيغة الموحدة في الخرائط والملاحة والحزمة || اسم المدينة,16;27,تقارير_المراجعة_الحوارية/المرحلة_16/dialogue_stage16_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_27/dialogue_stage27_glossary.csv,,approved,Merged from stage glossaries.
Noxious,نوكسيوس,وحش,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Observation / Viewing Tower,برج الإطلالة,برج سياحي لمشاهدة المدينة,19,تقارير_المراجعة_الحوارية/المرحلة_19/dialogue_stage19_glossary.csv,,approved,Merged from stage glossaries.
Obsidian,أوبسيديان,وحش,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Odin,أودين,شخصية/إله | تثبيت كتابة الاسم في الحوار,1,تقارير_المراجعة_الحوارية/المرحلة_01/dialogue_stage1_glossary.csv,,approved,Merged from stage glossaries.
Odin's Shrine,ضريح أودين,مكان || مكان | مثبت في المرحلة 11,11;31,تقارير_المراجعة_الحوارية/المرحلة_11/dialogue_stage11_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_31/dialogue_stage31_glossary.csv,,approved,Merged from stage glossaries.
Oil Paper,ورق زيتي,متطلب تعلم لغة ووتان.,28,تقارير_المراجعة_الحوارية/المرحلة_28/dialogue_stage28_glossary.csv,,approved,Merged from stage glossaries.
Old Nikki,نيكي العجوز,شخصية,11,تقارير_المراجعة_الحوارية/المرحلة_11/dialogue_stage11_glossary.csv,,approved,Merged from stage glossaries.
Old Shrine Ruins,أطلال الضريح القديم,المنطقة الخطرة شرقي القرية,20,تقارير_المراجعة_الحوارية/المرحلة_20/dialogue_stage20_glossary.csv,,approved,Merged from stage glossaries.
Old Stove,موقد قديم,وحش,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Orc Lady,أورك ليدي,اسم الوحش المثبت في الحزمة,15,تقارير_المراجعة_الحوارية/المرحلة_15/dialogue_stage15_glossary.csv,,approved,Merged from stage glossaries.
Orc Skeleton,هيكل أورك,المعتمد في قاعدة الوحوش,16,تقارير_المراجعة_الحوارية/المرحلة_16/dialogue_stage16_glossary.csv,,approved,Merged from stage glossaries.
Oridecon Hammer,مطرقة أوريديكون,عنصر,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Party Supplies Shop,متجر مستلزمات الحفلات,متجر,11,تقارير_المراجعة_الحوارية/المرحلة_11/dialogue_stage11_glossary.csv,,approved,Merged from stage glossaries.
Payon,بايون,ملفات الخرائط والملاحة || المراحل السابقة وملفات الملاحة || ملفات الملاحة والمراحل السابقة,3;4;5,تقارير_المراجعة_الحوارية/المرحلة_03/dialogue_stage3_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_05/dialogue_stage5_glossary.csv,,approved,Merged from stage glossaries.
Payon Cave,كهف بايون,Navi_Data_EN.lub وOngoingQuestInfoList,5,تقارير_المراجعة_الحوارية/المرحلة_05/dialogue_stage5_glossary.csv,,approved,Merged from stage glossaries.
Peco Peco,بيكو بيكو,وحش | توحيد كتابة اسم الوحش داخل الحوار || mob_db.yml والمراحل السابقة,1;4,تقارير_المراجعة_الحوارية/المرحلة_01/dialogue_stage1_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Pharos/Paros Lighthouse,منارة فاروس,الاسم الموحد داخل الملف,7,تقارير_المراجعة_الحوارية/المرحلة_07/dialogue_stage7_glossary.csv,,approved,Merged from stage glossaries.
Philip Varsez,فيليب فارسيز,الخيميائي,23,تقارير_المراجعة_الحوارية/المرحلة_23/dialogue_stage23_glossary.csv,,approved,Merged from stage glossaries.
Phracon,فراكون,itemInfo وحوار الترقية,6,تقارير_المراجعة_الحوارية/المرحلة_06/dialogue_stage6_glossary.csv,,approved,Merged from stage glossaries.
Piano Key,مفتاح بيانو,العنصر 7184؛ يظهر بصيغة الجمع: مفاتيح البيانو,27,تقارير_المراجعة_الحوارية/المرحلة_27/dialogue_stage27_glossary.csv,,approved,Merged from stage glossaries.
Picky,بيكي,وحش | توحيد كتابة اسم الوحش مع ضبط الجمع سياقيا || mob_db.yml والمراحل السابقة,1;4,تقارير_المراجعة_الحوارية/المرحلة_01/dialogue_stage1_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Piece of Cake,قطعة كعك,عنصر,23,تقارير_المراجعة_الحوارية/المرحلة_23/dialogue_stage23_glossary.csv,,approved,Merged from stage glossaries.
Piere,بيير,mob_db.yml، المعرّف 1160,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Piom,بيوم,طبقة العمال لدى سافا,25,تقارير_المراجعة_الحوارية/المرحلة_25/dialogue_stage25_glossary.csv,,approved,Merged from stage glossaries.
Pit Man,عامل منجم,وحش,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Poem of Bragi,قصيدة براغي,اسم مهارة/أغنية,26,تقارير_المراجعة_الحوارية/المرحلة_26/dialogue_stage26_glossary.csv,,approved,Merged from stage glossaries.
Poet Nell,الشاعر نيل,اسم الشخصية,26,تقارير_المراجعة_الحوارية/المرحلة_26/dialogue_stage26_glossary.csv,,approved,Merged from stage glossaries.
Poisonous Powder,مسحوق سام,عنصر,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Pope,البابا,لقب زعيمة المعبد؛ الشخصية أنثى في الحوار,13,تقارير_المراجعة_الحوارية/المرحلة_13/dialogue_stage13_glossary.csv,,approved,Merged from stage glossaries.
Poporing,بوبورينغ,وحش | الاسم المستخدم في حوار برونتيرا وملفات الخادم,1,rathena-master/npc/cities/prontera.txt,,approved,Confirmed in review cycle 2 stage 1.
Porcellio,بورسيليو,وحش,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Poring,بورينغ,mob_db.yml، المعرّف 1002 || قاموس الوحوش,4;6,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_06/dialogue_stage6_glossary.csv,,approved,Merged from stage glossaries.
Postell Schuwell,بوستيل شويل,شخصية | توحيد كتابة اسم العائلة,31,تقارير_المراجعة_الحوارية/المرحلة_31/dialogue_stage31_glossary.csv,,approved,Merged from stage glossaries.
Poze,بوز,اسم الشخصية,23,تقارير_المراجعة_الحوارية/المرحلة_23/dialogue_stage23_glossary.csv,,approved,Merged from stage glossaries.
Priestess Nemma,الكاهنة نيما,مسؤولة التبرعات في المعبد,13,تقارير_المراجعة_الحوارية/المرحلة_13/dialogue_stage13_glossary.csv,,approved,Merged from stage glossaries.
Prisoner,سجين,,14,تقارير_المراجعة_الحوارية/المرحلة_14/dialogue_stage14_glossary.csv,,approved,Merged from stage glossaries.
Prontera,برونتيرا,مدينة | الإبقاء على الاسم القياسي للحزمة,1,تقارير_المراجعة_الحوارية/المرحلة_01/dialogue_stage1_glossary.csv,,approved,Merged from stage glossaries.
Prontera Culvert,مجاري برونتيرا,منطقة | توحيد اسم المنطقة وتجنب الصيغ الحرفية المتعددة,1,تقارير_المراجعة_الحوارية/المرحلة_01/dialogue_stage1_glossary.csv,,approved,Merged from stage glossaries.
Propose Girl,فتاة عاشقة,اسم عرض طبيعي ومختصر,17,تقارير_المراجعة_الحوارية/المرحلة_17/dialogue_stage17_glossary.csv,,approved,Merged from stage glossaries.
Psychic Advisor,مستشارة روحانية,جنس الشخصية,2,تقارير_المراجعة_الحوارية/المرحلة_02/dialogue_stage2_glossary.csv,,approved,Merged from stage glossaries.
Publisher,الناشر,اسم عرض NPC,29,تقارير_المراجعة_الحوارية/المرحلة_29/dialogue_stage29_glossary.csv,,approved,Merged from stage glossaries.
Puchuchartan,بوتشوتشرتان,شامان ووتان؛ صيغة مختصرة ضمن حد اسم العرض.,28,تقارير_المراجعة_الحوارية/المرحلة_28/dialogue_stage28_glossary.csv,,approved,Merged from stage glossaries.
Pupa,شرنقة,وحش | الاسم الوصفي المعتمد في حوار برونتيرا,1,rathena-master/npc/cities/prontera.txt,,approved,Confirmed in review cycle 2 stage 1.
Pure Enchanted Stone,حجر عنصري نقي,الحجر الذي تفككه الشامان.,28,تقارير_المراجعة_الحوارية/المرحلة_28/dialogue_stage28_glossary.csv,,approved,Merged from stage glossaries.
Pyramid,الهرم / الأهرامات,سياق المدينة ومرجع iRO Wiki,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Queen Bee,ملكة النحل,وحش | الاسم المستخدم في سياق برونتيرا,1,rathena-master/npc/cities/prontera.txt,,approved,Confirmed in review cycle 2 stage 1.
Rachel,راشيل,اسم المدينة وعاصمة أرونافلتز,13,تقارير_المراجعة_الحوارية/المرحلة_13/dialogue_stage13_glossary.csv,,approved,Merged from stage glossaries.
Random Warp,الانتقال العشوائي,سياق برج الساعة,6,تقارير_المراجعة_الحوارية/المرحلة_06/dialogue_stage6_glossary.csv,,approved,Merged from stage glossaries.
Raw Fish,سمك نيئ,العنصر 544,29,تقارير_المراجعة_الحوارية/المرحلة_29/dialogue_stage29_glossary.csv,,approved,Merged from stage glossaries.
Red Gemstone,جوهرة حمراء,خيار محجر الجمجمة.,28,تقارير_المراجعة_الحوارية/المرحلة_28/dialogue_stage28_glossary.csv,,approved,Merged from stage glossaries.
Red Potion,جرعة حمراء,System/LuaFiles514/itemInfo.lua، المعرّف 501,3,تقارير_المراجعة_الحوارية/المرحلة_03/dialogue_stage3_glossary.csv,,approved,Merged from stage glossaries.
Regenschirm,ريغنشيرم,منشأة/مختبر ريكنبر || المختبر,12;34,تقارير_المراجعة_الحوارية/المرحلة_12/dialogue_stage12_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_34/dialogue_stage34_glossary.csv,,approved,Merged from stage glossaries.
Rekenber,ريكنبر,شركة | متوافق مع ملفات الحوار المنجزة || الشركة,31;34,تقارير_المراجعة_الحوارية/المرحلة_31/dialogue_stage31_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_34/dialogue_stage34_glossary.csv,,approved,Merged from stage glossaries.
Rekenber Corporation,شركة ريكنبر,المؤسسة الصناعية الحاكمة,12,تقارير_المراجعة_الحوارية/المرحلة_12/dialogue_stage12_glossary.csv,,approved,Merged from stage glossaries.
Reudelus route,خط روديلوس,خط نقل بحري,7,تقارير_المراجعة_الحوارية/المرحلة_07/dialogue_stage7_glossary.csv,,approved,Merged from stage glossaries.
Rice Cake,كعكة الأرز,طعام,8,تقارير_المراجعة_الحوارية/المرحلة_08/dialogue_stage8_glossary.csv,,approved,Merged from stage glossaries.
Rideword,ريد وورد,المعتمد في قاعدة الوحوش,16,تقارير_المراجعة_الحوارية/المرحلة_16/dialogue_stage16_glossary.csv,,approved,Merged from stage glossaries.
Rogue,مارق,وظيفة,7,تقارير_المراجعة_الحوارية/المرحلة_07/dialogue_stage7_glossary.csv,,approved,Merged from stage glossaries.
Rough Enchanted Stone,حجر عنصري خام,نتيجة صنع/تفكيك الأحجار.,28,تقارير_المراجعة_الحوارية/المرحلة_28/dialogue_stage28_glossary.csv,,approved,Merged from stage glossaries.
Round trip,رحلة ذهابا وإيابا,مصطلح النقل البحري.,21,تقارير_المراجعة_الحوارية/المرحلة_21/dialogue_stage21_glossary.csv,,approved,Merged from stage glossaries.
Royal Dragon Hotel,فندق التنين الملكي,اسم الفندق,12,تقارير_المراجعة_الحوارية/المرحلة_12/dialogue_stage12_glossary.csv,,approved,Merged from stage glossaries.
Royal Jelly,غذاء ملكات النحل,itemInfo || قاموس المرحلة الثانية وitemInfo,2;6,تقارير_المراجعة_الحوارية/المرحلة_02/dialogue_stage2_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_06/dialogue_stage6_glossary.csv,,approved,Merged from stage glossaries.
Rune of Darkness,رون الظلام,عنصر | مطابق لقاعدة العناصر ID 7511,31,تقارير_المراجعة_الحوارية/المرحلة_31/dialogue_stage31_glossary.csv,,approved,Merged from stage glossaries.
